,Ngày,Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Dài,Rộng,Giá/m2
33377,2020-07-15,"Cổ Nhuế, Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,42 m²,NaN,3.5 m,"61,9 triệu/m²"
33378,2020-07-15,"Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,NaN,6 phòng,55 m²,NaN,NaN,"96,36 triệu/m²"
33379,2020-07-15,"Đường Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Giảng Võ,"Nhà ngõ, hẻm",Đã có sổ,5,2 phòng,33 m²,NaN,NaN,"166,67 triệu/m²"
33380,2020-07-15,"Đường Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",NaN,NaN,5 phòng,49 m²,NaN,3 m,100 triệu/m²
33381,2020-07-15,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,70 m²,NaN,NaN,"55,71 triệu/m²"
33382,2020-07-15,"Đường An Trạch, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,38 m²,NaN,NaN,"84,21 triệu/m²"
33383,2020-07-15,"Đường Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,58 m²,10 m,5.6 m,"151,72 triệu/m²"
33384,2020-07-15,"Đường Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,38 m²,NaN,NaN,100 triệu/m²
33385,2020-07-15,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,31 m²,NaN,NaN,"91,94 triệu/m²"
33386,2020-07-15,"Đường Đa Sỹ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,2 phòng,30 m²,NaN,4 m,"73,33 triệu/m²"
33387,2020-07-15,"Đường Kim Giang, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,6,4 phòng,33 m²,NaN,NaN,"84,85 triệu/m²"
33388,2020-07-15,"Đường Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,34 m²,NaN,NaN,"64,71 triệu/m²"
33389,2020-07-15,"Đường Đặng Văn Ngữ, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà mặt phố, mặt tiền",NaN,NaN,2 phòng,21 m²,NaN,NaN,"78,57 triệu/m²"
33390,2020-07-15,"111, Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,40 m²,11 m,3 m,70 triệu/m²
33391,2020-07-15,"Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,56 m²,NaN,4.5 m,"58,57 triệu/m²"
33392,2020-07-15,"Đường Vũ Tông Phan, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,37 m²,NaN,NaN,"66,22 triệu/m²"
33393,2020-07-15,"Đường Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,90 m²,NaN,NaN,"56,67 triệu/m²"
33394,2020-07-15,"Đường Văn Phú, Phường Phúc La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phúc La,Nhà phố liền kề,Đã có sổ,5,4 phòng,55 m²,NaN,NaN,"90,91 triệu/m²"
33395,2020-07-15,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,6,3 phòng,33 m²,NaN,NaN,"151,52 triệu/m²"
33396,2020-07-15,"Đường Doãn Kế Thiện, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,42 m²,NaN,NaN,"95,24 triệu/m²"
33397,2020-07-15,"Đường Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,40 m²,NaN,3.4 m,110 triệu/m²
33398,2020-07-15,"Đường Đặng Tiến Đông, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,5,2 phòng,11 m²,NaN,NaN,"141,82 triệu/m²"
33399,2020-07-15,"Đường Nguyễn Khang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,38 m²,NaN,NaN,"103,95 triệu/m²"
33400,2020-07-15,"Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,33 m²,8 m,4 m,"90,91 triệu/m²"
33401,2020-07-15,"Đường Yên Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,36 m²,NaN,NaN,"38,33 triệu/m²"
33402,2020-07-15,"Đường Phùng Hưng, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,40 m²,10 m,4 m,"96,25 triệu/m²"
33403,2020-07-15,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,120 m²,NaN,NaN,"141,67 triệu/m²"
33404,2020-07-15,"Đường Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,60 m²,NaN,NaN,"76,67 triệu/m²"
33405,2020-07-15,"Đường Trần Vĩ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,40 m²,NaN,NaN,"107,5 triệu/m²"
33406,2020-07-15,"Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,36 m²,NaN,3 m,"90,83 triệu/m²"
33407,2020-07-15,"Đường Khương Thượng, Phường Khương Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khương Thượng,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35 m²,10 m,3.5 m,"111,43 triệu/m²"
33408,2020-07-15,"Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,NaN,NaN,"96,88 triệu/m²"
33409,2020-07-15,"Đường Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,46 m²,NaN,4 m,"106,52 triệu/m²"
33410,2020-07-15,"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,41 m²,NaN,NaN,"73,17 triệu/m²"
33411,2020-07-15,"Đường Khương Đình||655, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,36 m²,NaN,NaN,"93,06 triệu/m²"
33412,2020-07-15,"Đường Bùi Xương Trạch, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,50 m²,NaN,NaN,70 triệu/m²
33413,2020-07-15,"Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,35 m²,9 m,4 m,"82,86 triệu/m²"
33414,2020-07-15,"Đường Vũ Hữu, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,34 m²,NaN,NaN,"114,71 triệu/m²"
33415,2020-07-15,"Đường Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,3,5 phòng,58 m²,NaN,NaN,"83,62 triệu/m²"
33416,2020-07-15,"Đường Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",NaN,NaN,6 phòng,69 m²,NaN,NaN,"104,35 triệu/m²"
33417,2020-07-15,"Đường Xuân Đỉnh, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Tảo,"Nhà mặt phố, mặt tiền",NaN,NaN,5 phòng,56 m²,9 m,6 m,"211,61 triệu/m²"
33418,2020-07-15,"Đường Thái Thịnh 1, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,6 phòng,100 m²,30 m,3.3 m,151 triệu/m²
33419,2020-07-15,"Đường Ngô Thì Nhậm, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,Nhà phố liền kề,Đã có sổ,NaN,6 phòng,40 m²,NaN,NaN,100 triệu/m²
33420,2020-07-15,"Đường Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,40 m²,NaN,NaN,"71,25 triệu/m²"
33421,2020-07-15,"Đường Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,NaN,NaN,"85,71 triệu/m²"
33422,2020-07-15,"Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,100 m²,10 m,10 m,290 triệu/m²
33423,2020-07-15,"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,39 m²,NaN,NaN,"110,26 triệu/m²"
33424,2020-07-15,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",NaN,NaN,5 phòng,43 m²,NaN,10 m,"61,63 triệu/m²"
33425,2020-07-15,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Cầu Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6 phòng,40 m²,NaN,NaN,90 triệu/m²
33426,2020-07-15,"2, Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,32 m²,6 m,5 m,"71,88 triệu/m²"
33427,2020-07-15,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,35 m²,NaN,NaN,"142,86 triệu/m²"
33428,2020-07-15,"Đường Cát Linh, Phường Cát Linh, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Cát Linh,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,39 m²,NaN,4 m,"82,05 triệu/m²"
33429,2020-07-15,"Đường Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,33 m²,NaN,NaN,"78,79 triệu/m²"
33430,2020-07-15,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,30 m²,NaN,NaN,66 triệu/m²
33431,2020-07-15,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,26 m²,NaN,NaN,100 triệu/m²
33432,2020-07-15,"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3 phòng,35 m²,10 m,3 m,"105,71 triệu/m²"
33433,2020-07-15,"Đường 32, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,40 m²,NaN,NaN,75 triệu/m²
33434,2020-07-15,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4 phòng,45 m²,NaN,3 m,"73,33 triệu/m²"
33435,2020-07-15,"Đường Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,3,4 phòng,39 m²,13 m,3 m,"56,41 triệu/m²"
33436,2020-07-15,"102, Đường Trần Duy Hưng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,72 m²,15 m,5 m,"62,5 triệu/m²"
33437,2020-07-15,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,6,3 phòng,48 m²,12 m,4 m,"157,29 triệu/m²"
33438,2020-07-15,"Đường Đê Trần Khát Chân, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,33 m²,12 m,4 m,"90,91 triệu/m²"
33439,2020-07-15,"Đường Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,6,3 phòng,28 m²,NaN,NaN,"96,43 triệu/m²"
33440,2020-07-15,"Đường Nguyễn Khoái, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,60 m²,12 m,5 m,"37,5 triệu/m²"
33441,2020-07-15,"Đường Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",NaN,4,3 phòng,90 m²,NaN,4 m,"247,78 triệu/m²"
33442,2020-07-15,"Đường An Dương Vương, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,34 m²,10 m,3.4 m,"77,94 triệu/m²"
33443,2020-07-15,"Đông la, Xã Đông La, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Đông La,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,3 phòng,37 m²,9 m,4 m,"43,24 triệu/m²"
33444,2020-07-15,"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,100 m²,NaN,NaN,36 triệu/m²
33445,2020-07-15,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,40 m²,10 m,4 m,80 triệu/m²
33446,2020-07-15,"Đường 32, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,40 m²,NaN,NaN,75 triệu/m²
33447,2020-07-15,"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,NaN,5 phòng,35 m²,NaN,NaN,"132,86 triệu/m²"
33448,2020-07-15,"Đường Thịnh Hào 1, Phường Hàng Bột, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,23 m²,NaN,NaN,"89,13 triệu/m²"
33449,2020-07-15,"Đường Hoàng Minh Giám, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,75 m²,NaN,4 m,66 triệu/m²
33450,2020-07-15,"Đường Đặng Văn Ngữ, Phường Nam Đồng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,42 m²,NaN,NaN,"90,48 triệu/m²"
33451,2020-07-15,"Đường Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,45 m²,NaN,NaN,"25,56 triệu/m²"
33452,2020-07-15,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",NaN,NaN,2 phòng,25 m²,NaN,NaN,116 triệu/m²
33453,2020-07-15,"Đường Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,59 m²,NaN,NaN,"47,46 triệu/m²"
33454,2020-07-15,"Đường Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,48 m²,NaN,NaN,"71,88 triệu/m²"
33455,2020-07-15,"Đường Yên Hòa, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,33 m²,NaN,NaN,"96,97 triệu/m²"
33456,2020-07-15,"Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,50 m²,NaN,NaN,124 triệu/m²
33457,2020-07-15,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,NaN,2 phòng,35 m²,NaN,NaN,"77,14 triệu/m²"
33458,2020-07-15,"Đường Hoàng Hoa Thám, Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",NaN,NaN,1 phòng,33 m²,NaN,NaN,"118,18 triệu/m²"
33459,2020-07-15,"Đường Phạm Văn Đồng, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",NaN,NaN,5 phòng,48 m²,NaN,NaN,"108,33 triệu/m²"
33460,2020-07-15,"Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4 phòng,75 m²,NaN,4.2 m,60 triệu/m²
33461,2020-07-15,"Đường Ô Chợ Dừa, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,31 m²,NaN,NaN,"154,84 triệu/m²"
33462,2020-07-15,"Đường Nguyễn Văn Trỗi, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,4,3 phòng,33 m²,NaN,NaN,"83,03 triệu/m²"
33463,2020-07-15,"Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,5 phòng,65 m²,NaN,4 m,"156,92 triệu/m²"
33464,2020-07-15,"Đường Hòe Nhai, Phường Quán Thánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Quán Thánh,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,2 phòng,49 m²,NaN,4.2 m,"36,33 triệu/m²"
33465,2020-07-15,"Đường Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,NaN,5 phòng,60 m²,15 m,4 m,"44,67 triệu/m²"
33466,2020-07-15,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,24 m²,NaN,NaN,"120,83 triệu/m²"
33467,2020-07-15,"Đường Đại La, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",NaN,NaN,4 phòng,60 m²,NaN,NaN,95 triệu/m²
33468,2020-07-15,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",NaN,NaN,4 phòng,42 m²,NaN,4 m,"104,76 triệu/m²"
33469,2020-07-15,"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,220 m²,NaN,NaN,"12,18 triệu/m²"
33470,2020-07-15,"Đường Vương Thừa Vũ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,NaN,3 phòng,23 m²,NaN,NaN,"117,39 triệu/m²"
33471,2020-07-15,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,3,4 phòng,54 m²,4 m,NaN,"83,33 triệu/m²"
33472,2020-07-15,"Đường Vũ Tông Phan, Phường Định Công, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4 phòng,38 m²,10 m,4 m,"64,47 triệu/m²"
33473,2020-07-15,"Đường Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Phương Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,8,4 phòng,80 m²,12 m,6 m,"362,5 triệu/m²"
33474,2020-07-15,"Đường Hòa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,2,2 phòng,50 m²,NaN,NaN,22 triệu/m²
33475,2020-07-15,"Đường Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,NaN,4 phòng,36 m²,NaN,NaN,"94,17 triệu/m²"
33476,2020-07-15,"Đường Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,NaN,4 phòng,50 m²,NaN,NaN,280 triệu/m²
33477,2020-07-15,"Đường Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1 phòng,70 m²,18 m,4 m,170 triệu/m²
33478,2020-07-15,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",NaN,NaN,3 phòng,40 m²,NaN,NaN,"97,5 triệu/m²"
33479,2020-07-15,"Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,71 m²,NaN,NaN,"67,61 triệu/m²"
33480,2020-07-15,"Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",NaN,NaN,3 phòng,35 m²,NaN,NaN,"61,43 triệu/m²"
